0:0:0:0:0:0:0:1 - - [04/Mar/2018:10:56:46 -0800] "GET /autocomplete-example/hero-suggestion?query=Supergirl HTTP/1.1" 200 61
127.0.0.1 - - [04/Mar/2018:12:51:54 -0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/login HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/css/style.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:51:55 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:52:14 -0800] "GET /project3/login HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:52:14 -0800] "GET /project3/resources/logo.png HTTP/1.1" 200 15278
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:52:14 -0800] "GET /project3/css/style.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:52:14 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [04/Mar/2018:12:52:14 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:04 -0800] "GET /project3/login HTTP/1.1" 200 3023
169.234.97.101 - - [04/Mar/2018:12:53:04 -0800] "GET /project3/css/style.css HTTP/1.1" 200 1217
169.234.97.101 - - [04/Mar/2018:12:53:04 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 4408
169.234.97.101 - - [04/Mar/2018:12:53:04 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:04 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:19 -0800] "POST /project3/loginhandle HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:53:19 -0800] "GET /project3/mainpage HTTP/1.1" 200 2411
169.234.97.101 - - [04/Mar/2018:12:53:19 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:19 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:19 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:19 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:53:25 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:12:53:37 -0800] "GET /project3/Autocompletion?query=mike HTTP/1.1" 200 1541
169.234.97.101 - - [04/Mar/2018:12:53:41 -0800] "GET /project3/Autocompletion?query=s HTTP/1.1" 200 3421
169.234.97.101 - - [04/Mar/2018:12:54:30 -0800] "GET /project3/Autocompletion?query=s HTTP/1.1" 200 3421
169.234.97.101 - - [04/Mar/2018:12:54:48 -0800] "GET /project3/run_search?hero=Sei+come+sei&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:54:48 -0800] "GET /project3/movie_list HTTP/1.1" 200 2332
169.234.97.101 - - [04/Mar/2018:12:54:48 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:54:48 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:54:48 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:54:48 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:54:55 -0800] "GET /project3/Autocompletion?query=s HTTP/1.1" 200 3421
