127.0.0.1 - - [07/Mar/2018:14:03:28 -0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:29 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:29 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:29 -0800] "GET /project3/login HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:30 -0800] "GET /project3/css/style.css HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:30 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:30 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 6517
0:0:0:0:0:0:0:1 - - [07/Mar/2018:14:03:32 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:03:54 -0800] "GET /project3/login HTTP/1.1" 200 3024
192.168.0.29 - - [07/Mar/2018:14:03:54 -0800] "GET /project3/css/style.css HTTP/1.1" 200 1212
192.168.0.29 - - [07/Mar/2018:14:03:54 -0800] "GET /project3/resources/logo.png HTTP/1.1" 200 15278
192.168.0.29 - - [07/Mar/2018:14:03:54 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 6517
192.168.0.29 - - [07/Mar/2018:14:03:54 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 200 418820
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET / HTTP/1.1" 200 11452
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /bg-middle.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /bg-button.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /bg-nav.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /bg-upper.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /tomcat.css HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:03 -0800] "GET /tomcat.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/login HTTP/1.1" 200 3024
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 6517
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/login HTTP/1.1" 200 3024
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:22 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:27 -0800] "POST /project3/loginhandle HTTP/1.1" 302 -
192.168.0.29 - - [07/Mar/2018:14:04:27 -0800] "GET /project3/mainpage HTTP/1.1" 200 2412
192.168.0.29 - - [07/Mar/2018:14:04:27 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:27 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:27 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:27 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
192.168.0.29 - - [07/Mar/2018:14:04:38 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 647
192.168.0.29 - - [07/Mar/2018:14:04:47 -0800] "GET /project3/Autocompletion?query=goo HTTP/1.1" 200 643
192.168.0.29 - - [07/Mar/2018:14:06:01 -0800] "GET /project3/Autocompletion?query=good%20d HTTP/1.1" 200 490
